;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
404;São Félix do Xingu (PA);250.0;250.0;182.0;182.0;180.0;412.0;412.0;412.0;412.0;1178.0;1654.0;1571.0;1654.0;1650.0;1654.0;1902.0;1902.0;1902.0;2600.0;2600.0;2600.0;Cocoa;1217.095238095238
405;São Francisco do Pará (PA);0;0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;30.0;30.0;25.0;0;0;0;0;Cocoa;29.19047619047619
406;São Geraldo do Araguaia (PA);1435.0;860.0;860.0;860.0;1000.0;960.0;960.0;960.0;960.0;960.0;1020.0;1020.0;1020.0;960.0;1000.0;1020.0;1020.0;1020.0;1020.0;1020.0;1020.0;Cocoa;997.8571428571429
407;São João da Ponta (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
408;São João de Pirabas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
409;São João do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
410;São Miguel do Guamá (PA);0;0;19.0;19.0;19.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;2.7142857142857144
411;São Sebastião da Boa Vista (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
412;Sapucaia (PA);30.0;26.0;36.0;36.0;36.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;40.0;40.0;40.0;6.0;0;0;Cocoa;28.095238095238095
413;Senador José Porfírio (PA);900.0;900.0;900.0;15.0;15.0;15.0;15.0;15.0;90.0;135.0;135.0;135.0;135.0;135.0;235.0;730.0;1210.0;1060.0;1060.0;1800.0;1800.0;Cocoa;544.5238095238095
414;Soure (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
415;Tailândia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.0;30.0;30.0;Cocoa;4.285714285714286
416;Terra Alta (PA);12.0;12.0;12.0;0;12.0;12.0;12.0;12.0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;4.476190476190476
417;Terra Santa (PA);3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;0;0;0;0;0;0;0;Cocoa;1.8571428571428572
418;Tomé-Açu (PA);3200.0;3200.0;3200.0;2100.0;2100.0;2155.0;2155.0;2155.0;2048.0;3048.0;3200.0;3200.0;2048.0;3200.0;3200.0;3100.0;2652.0;3100.0;3400.0;3400.0;3570.0;Cocoa;2830.0476190476193
419;Tracuateua (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
420;Trairão (PA);936.0;990.0;990.0;500.0;489.0;590.0;700.0;700.0;700.0;700.0;700.0;700.0;583.0;1158.0;1300.0;1300.0;1300.0;1300.0;1450.0;1450.0;1450.0;Cocoa;951.7142857142857
421;Tucumã (PA);691.0;691.0;691.0;691.0;825.0;1293.0;1293.0;1293.0;1293.0;1593.0;1893.0;2293.0;2543.0;3219.0;2963.0;3313.0;3313.0;3634.0;3900.0;3900.0;4300.0;Cocoa;2172.6190476190477
422;Tucuruí (PA);170.0;0;0;0;0;0;0;0;0.0;0.0;0;0;200.0;200.0;400.0;400.0;400.0;900.0;1400.0;1400.0;1400.0;Cocoa;327.14285714285717
423;Ulianópolis (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
424;Uruará (PA);5560.0;5560.0;5010.0;5220.0;4535.0;5220.0;5620.0;5620.0;5620.0;7530.0;7530.0;8065.0;7530.0;7530.0;8341.0;8341.0;10064.0;11905.0;11905.0;13006.0;13006.0;Cocoa;7748.476190476191
425;Vigia (PA);0;0;0;12.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.5714285714285714
426;Viseu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
427;Vitória do Xingu (PA);1224.0;1224.0;910.0;1017.0;1200.0;1200.0;1200.0;1200.0;1430.0;1590.0;1590.0;1840.0;1840.0;2390.0;2990.0;2990.0;3060.0;3816.0;3816.0;4169.0;4169.0;Cocoa;2136.4285714285716
428;Xinguara (PA);0;0;0;0;0;0;0;0;0;0;0;6.0;6.0;6.0;21.0;21.0;25.0;25.0;175.0;175.0;90.0;Cocoa;26.19047619047619
