;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
489;Jacundá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
490;Juruti (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
491;Limoeiro do Ajuru (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
492;Mãe do Rio (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
493;Magalhães Barata (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
494;Marabá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
495;Maracanã (PA);100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;120.0;100.0;100.0;Palm oil;100.95238095238095
496;Marapanim (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
497;Marituba (PA);;0;0;0;0;;;;;0;;;;;;;;;;;0;Palm oil;0.0
498;Medicilândia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
499;Melgaço (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
500;Mocajuba (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
501;Moju (PA);8300.0;1920.0;1914.0;1914.0;1914.0;1914.0;7678.0;7678.0;7678.0;7678.0;7678.0;7678.0;8000.0;7093.0;7093.0;13288.0;7093.0;7093.0;7093.0;7093.0;7093.0;Palm oil;6423.0
502;Mojuí dos Campos (PA);;;;;;;;;;;;;;;;;0;0;0;0;0;Palm oil;0.0
503;Monte Alegre (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
504;Muaná (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
