;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
1091;Pau D'Arco (PA);0;0;0;0;0;0;0;0;0;0;100.0;360.0;400.0;500.0;0;0;0;0;0;500.0;500.0;Soy;112.38095238095238
1092;Peixe-Boi (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1093;Piçarra (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1094;Placas (PA);0;0;0;0;0;0;0;0;0;35.0;0;160.0;80.0;80.0;220.0;220.0;300.0;300.0;800.0;650.0;650.0;Soy;166.42857142857142
1095;Ponta de Pedras (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1096;Portel (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1097;Porto de Moz (PA);0;0;0;0;0;0;0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.47619047619047616
1098;Prainha (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1099;Primavera (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1100;Quatipuru (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1101;Redenção (PA);30.0;300.0;300.0;250.0;180.0;8.0;200.0;200.0;670.0;1500.0;1500.0;1500.0;1000.0;250.0;550.0;700.0;1040.0;1160.0;2040.0;4358.0;5005.0;Soy;1082.904761904762
1102;Rio Maria (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400.0;430.0;400.0;500.0;Soy;82.38095238095238
1103;Rondon do Pará (PA);0;23.0;25.0;0;0;0;0;0;0;0;0;150.0;320.0;420.0;2000.0;8000.0;12000.0;12000.0;12000.0;40000.0;48000.0;Soy;6425.619047619048
1104;Rurópolis (PA);0;0;0;0;0;0;0;0;0;0;0;70.0;70.0;70.0;180.0;180.0;180.0;350.0;480.0;680.0;375.0;Soy;125.47619047619048
1105;Salinópolis (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1106;Salvaterra (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1107;Santa Bárbara do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1108;Santa Izabel do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1109;Santa Luzia do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1110;Santa Maria das Barreiras (PA);0;0;0;0;0;0;0;0;850.0;2100.0;2100.0;2900.0;2900.0;2800.0;3300.0;3450.0;5520.0;7000.0;10800.0;13860.0;23621.0;Soy;3866.714285714286
1111;Santa Maria do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1112;Santana do Araguaia (PA);0;0;0;0;0;0;500.0;6000.0;9000.0;13525.0;8000.0;4630.0;5500.0;5500.0;7000.0;8900.0;32100.0;60000.0;50000.0;67000.0;66541.0;Soy;16390.285714285714
1113;Santarém (PA);50.0;0;620.0;50.0;25.0;200.0;4600.0;11000.0;22000.0;19500.0;15000.0;17250.0;18000.0;17100.0;17800.0;17800.0;12725.0;14660.0;14660.0;16000.0;18000.0;Soy;11287.619047619048
1114;Santarém Novo (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1115;Santo Antônio do Tauá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1116;São Caetano de Odivelas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1117;São Domingos do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1118;São Domingos do Capim (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1119;São Félix do Xingu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1120;São Francisco do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1121;São Geraldo do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1122;São João da Ponta (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1123;São João de Pirabas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
